Date,Open,High,Low,Close
05/12/2025,"8,554.80","8,646.32","8,546.25","8,604.98"
05/09/2025,"8,531.61","8,581.53","8,531.61","8,554.80"
05/08/2025,"8,559.33","8,607.71","8,514.04","8,531.61"
05/07/2025,"8,597.42","8,599.95","8,533.57","8,559.33"
05/06/2025,"8,596.35","8,641.68","8,569.11","8,597.42"
05/05/2025,"8,496.80","8,622.14","8,496.80","8,596.35"
05/02/2025,"8,496.80","8,622.14","8,496.80","8,596.35"
05/01/2025,"8,494.85","8,505.28","8,468.26","8,496.80"
04/30/2025,"8,463.46","8,494.85","8,430.48","8,494.85"
04/29/2025,"8,417.34","8,470.40","8,404.10","8,463.46"
04/28/2025,"8,415.25","8,452.62","8,415.24","8,417.34"
04/25/2025,"8,407.44","8,442.65","8,397.07","8,415.25"
04/24/2025,"8,403.18","8,415.12","8,361.79","8,407.44"
04/23/2025,"8,328.60","8,467.79","8,328.31","8,403.18"
04/22/2025,"8,275.66","8,337.67","8,262.49","8,328.60"
04/17/2025,"8,275.60","8,295.07","8,195.66","8,275.66"
04/16/2025,"8,249.12","8,281.09","8,177.04","8,275.60"
04/15/2025,"8,134.34","8,257.77","8,134.01","8,249.12"
04/14/2025,"7,964.18","8,160.21","7,964.18","8,134.34"
04/11/2025,"7,913.25","8,000.78","7,862.72","7,964.18"
04/10/2025,"7,679.48","8,166.53","7,679.48","7,913.25"
04/09/2025,"7,910.53","7,910.53","7,599.56","7,679.48"
04/08/2025,"7,702.08","7,984.19","7,702.08","7,910.53"
04/07/2025,"8,054.98","8,054.98","7,544.83","7,702.08"
04/04/2025,"8,474.74","8,474.74","8,023.45","8,054.98"
04/03/2025,"8,608.48","8,608.48","8,453.22","8,474.74"
04/02/2025,"8,634.80","8,634.80","8,548.32","8,608.48"
04/01/2025,"8,582.81","8,671.91","8,581.91","8,634.80"
03/31/2025,"8,658.85","8,658.88","8,530.98","8,582.81"
03/28/2025,"8,666.12","8,694.19","8,636.92","8,658.85"
03/27/2025,"8,689.59","8,689.70","8,611.42","8,666.12"
03/26/2025,"8,663.80","8,714.81","8,656.39","8,689.59"
03/25/2025,"8,638.01","8,717.03","8,638.01","8,663.80"
03/24/2025,"8,646.79","8,695.60","8,616.42","8,638.01"
03/21/2025,"8,701.99","8,701.99","8,615.96","8,646.79"
03/20/2025,"8,706.66","8,742.75","8,665.26","8,701.99"
03/19/2025,"8,705.23","8,718.74","8,662.56","8,706.66"
03/18/2025,"8,680.29","8,726.95","8,680.29","8,705.23"
03/17/2025,"8,632.33","8,688.41","8,625.04","8,680.29"
03/14/2025,"8,542.56","8,642.79","8,538.07","8,632.33"
03/13/2025,"8,540.97","8,581.57","8,513.65","8,542.56"
03/12/2025,"8,495.99","8,565.45","8,495.99","8,540.97"
03/11/2025,"8,600.22","8,603.93","8,481.11","8,495.99"
03/10/2025,"8,679.88","8,700.79","8,591.58","8,600.22"
03/07/2025,"8,682.84","8,701.31","8,627.30","8,679.88"
03/06/2025,"8,755.84","8,778.19","8,645.84","8,682.84"
03/05/2025,"8,759.00","8,835.72","8,752.46","8,755.84"
03/04/2025,"8,871.31","8,873.67","8,746.01","8,759.00"
03/03/2025,"8,809.74","8,908.82","8,809.74","8,871.31"
02/28/2025,"8,756.21","8,810.50","8,715.43","8,809.74"
02/27/2025,"8,731.46","8,768.05","8,680.55","8,756.21"
02/26/2025,"8,668.67","8,738.28","8,668.67","8,731.46"
02/25/2025,"8,658.98","8,712.17","8,628.11","8,668.67"
02/24/2025,"8,659.37","8,688.26","8,614.08","8,658.98"
02/21/2025,"8,662.97","8,684.78","8,638.63","8,659.37"
02/20/2025,"8,712.53","8,712.66","8,650.80","8,662.97"
02/19/2025,"8,766.73","8,771.22","8,696.94","8,712.53"
02/18/2025,"8,768.01","8,787.66","8,757.82","8,766.73"
02/17/2025,"8,732.46","8,769.07","8,725.27","8,768.01"
02/14/2025,"8,764.72","8,767.73","8,717.54","8,732.46"
02/13/2025,"8,807.44","8,820.93","8,729.57","8,764.72"
02/12/2025,"8,777.39","8,810.62","8,759.38","8,807.44"
02/11/2025,"8,767.80","8,789.58","8,750.53","8,777.39"
02/10/2025,"8,700.53","8,785.85","8,694.55","8,767.80"
02/07/2025,"8,727.28","8,728.94","8,685.78","8,700.53"
02/06/2025,"8,623.29","8,767.50","8,623.29","8,727.28"
02/05/2025,"8,570.77","8,623.29","8,550.24","8,623.29"
02/04/2025,"8,583.56","8,583.59","8,524.66","8,570.77"
02/03/2025,"8,673.96","8,673.96","8,520.20","8,583.56"
01/31/2025,"8,646.88","8,692.84","8,646.88","8,673.96"
01/30/2025,"8,557.81","8,655.19","8,547.86","8,646.88"
01/29/2025,"8,533.87","8,584.07","8,518.27","8,557.81"
01/28/2025,"8,503.71","8,572.96","8,503.62","8,533.87"
01/27/2025,"8,502.35","8,514.17","8,462.18","8,503.71"
01/24/2025,"8,565.20","8,586.68","8,492.73","8,502.35"
01/23/2025,"8,545.13","8,572.51","8,532.07","8,565.20"
01/22/2025,"8,548.29","8,584.73","8,527.79","8,545.13"
01/21/2025,"8,520.54","8,550.41","8,513.42","8,548.29"
01/20/2025,"8,505.22","8,548.59","8,501.82","8,520.54"
01/17/2025,"8,391.90","8,533.43","8,391.83","8,505.22"
01/16/2025,"8,301.13","8,391.90","8,301.13","8,391.90"
01/15/2025,"8,201.54","8,307.56","8,199.57","8,301.13"
01/14/2025,"8,224.19","8,244.31","8,193.54","8,201.54"
01/13/2025,"8,248.49","8,254.00","8,192.31","8,224.19"
01/10/2025,"8,319.69","8,326.32","8,247.61","8,248.49"
01/09/2025,"8,251.03","8,322.59","8,243.15","8,319.69"
01/08/2025,"8,245.28","8,267.38","8,189.50","8,251.03"
01/07/2025,"8,249.66","8,251.79","8,190.50","8,245.28"
01/06/2025,"8,223.98","8,249.66","8,197.50","8,249.66"
01/03/2025,"8,260.09","8,268.97","8,219.73","8,223.98"
01/02/2025,"8,173.02","8,270.60","8,160.60","8,260.09"
12/31/2024,"8,121.01","8,180.38","8,096.65","8,173.02"
12/30/2024,"8,149.78","8,149.78","8,094.88","8,121.01"
